userid,username,item,item_type,ctime,comment,rating,product_quality,seller_service,delivery_service,has_template_tag,template_tags,tags,is_oversea,origin_region,like_count,is_repeated_purchase,exclude_scoring_due_low_logistic
207584613,tineyookoo,Tala by Kyla TBK 2gether The Series Inspired Collection- Soul Mate,0,1663074096,"Appearance:just like the picture
Colour:accurate
Material Quality:good quality

my brightwin soulmate 2gether inspired tala necklace is finally here 😭😭 this is sooo pretty!! my wat-tine heart is sooo happy 🥹💖

thank youuuu 🫶🏻

#bbrightvc #winmetawin #sarawat #tine #brightwin #ไบร์ทวิน #2gether",5,5,,,True,"['Appearance', 'Colour', 'Material Quality']","[{'tag_id': 51, 'tag_description': 'Excellent quality '}, {'tag_id': 52, 'tag_description': 'Very accommodating seller '}, {'tag_id': 53, 'tag_description': 'Well-packaged '}, {'tag_id': 54, 'tag_description': 'Item shipped immediately '}, {'tag_id': 55, 'tag_description': 'Will order again '}]",False,ph,4.0,False,False
96155121,f*****8,Tala by Kyla TBK 2gether The Series Inspired Collection- Soul Mate,0,1650811447,tala never fails talaga! cutie ng necklace!! actually this is my gift for my friend and i hope he likes it <3 definitely will buy again!! thank you!,5,5,,,False,[],,False,ph,1.0,False,False
76890781,d*****a,Tala by Kyla TBK 2gether The Series Inspired Collection- Soul Mate,0,1649322593,I'm so happy with the necklace.I didn't expect the freebies and I'm so thankful. I superlove it. This is my 1st ever BL inspired item that I had purchased and I didn't regret it. Super ganda and it inpired me to purchase more. Thank you and Godbless.🥰,5,5,,,False,[],"[{'tag_id': 51, 'tag_description': 'Excellent quality '}, {'tag_id': 53, 'tag_description': 'Well-packaged '}, {'tag_id': 54, 'tag_description': 'Item shipped immediately '}, {'tag_id': 55, 'tag_description': 'Will order again '}]",False,ph,26.0,False,False
487852625,rnz_xy,Tala by Kyla TBK 2gether The Series Inspired Collection- Soul Mate,0,1654686779,"Appearance:1000/10

mej nagupi yung box pero it’s okay",5,5,,,True,"['Appearance', 'Colour', 'Material Quality']","[{'tag_id': 51, 'tag_description': 'Excellent quality '}, {'tag_id': 52, 'tag_description': 'Very accommodating seller '}]",False,ph,1.0,False,False
277779170,d*****h,Tala by Kyla TBK 2gether The Series Inspired Collection- Soul Mate,0,1650460307,"Very pretty pieces that I got at 50% discount, inabangan ko talaga to 😂 Also kudos to Tala by Kyla for using compostable polymailer 💖",5,5,,,False,[],"[{'tag_id': 51, 'tag_description': 'Excellent quality '}, {'tag_id': 53, 'tag_description': 'Well-packaged '}, {'tag_id': 54, 'tag_description': 'Item shipped immediately '}, {'tag_id': 55, 'tag_description': 'Will order again '}]",False,ph,3.0,False,False
320226720,g*****o,Tala by Kyla TBK 2gether The Series Inspired Collection- Soul Mate,0,1657506908,"Material Quality:Their quality is good as expected
Appearance:They look so cute. I love the box given. They're just a bit small compared to what I expected.
Colour:Gold

Thank you, Tala! Will order again! I hope that ""someone"" will also love this.",5,5,,,True,"['Appearance', 'Colour', 'Material Quality']",,False,ph,1.0,False,False
291200109,w*****7,Tala by Kyla TBK 2gether The Series Inspired Collection- Soul Mate,0,1646796624,"Super ganda! Ito na regalo ko para sa sarili ko, para sa 18th birthday ko! Sana magkaroon pa ng iba pang design na about kay Bright or about sa 2gether the series! Thank you po sa seller!",5,5,,,False,[],"[{'tag_id': 51, 'tag_description': 'Excellent quality '}, {'tag_id': 52, 'tag_description': 'Very accommodating seller '}, {'tag_id': 53, 'tag_description': 'Well-packaged '}, {'tag_id': 54, 'tag_description': 'Item shipped immediately '}, {'tag_id': 55, 'tag_description': 'Will order again '}]",False,ph,6.0,False,False
808709824,nnj7l3jz8v,Tala by Kyla TBK 2gether The Series Inspired Collection- Soul Mate,0,1660030252,Thank you ...super Ganda...will buy again...ung bracelet nauna ko binili..,5,5,,,False,[],,False,ph,,False,False
122133013,y*****5,Tala by Kyla TBK 2gether The Series Inspired Collection- Soul Mate,0,1650416816,"Yehey finally i got this
Thank You so much seller super legit may freebies pa. I got this for only 129 pesos w/ minimal fee
Hoping na magsale pa ulet para makaavail pa ko ng ibang collection Tala By Kyla
Godbless po",5,5,,,False,[],"[{'tag_id': 51, 'tag_description': 'Excellent quality '}, {'tag_id': 53, 'tag_description': 'Well-packaged '}, {'tag_id': 54, 'tag_description': 'Item shipped immediately '}, {'tag_id': 55, 'tag_description': 'Will order again '}]",False,ph,0.0,False,False
66248599,johncarloraetgolo,Tala by Kyla TBK 2gether The Series Inspired Collection- Soul Mate,0,1648553879,Super ganda niya po and super sulit. Bait din po ng rider and ang ganda ng pagka pack niya. I'm super happy for it and I hope na makabili ulit ako sa store na to. I'm so thankful talaga. Mabilis din pala siya maship. Uhmm nag order ako nito nung 27 then it shipped out yesterday then today I received,5,5,,,False,[],,False,ph,3.0,False,False
46061647,a*****5,Tala by Kyla TBK 2gether The Series Inspired Collection- Soul Mate,0,1650518357,Thank you so much seller sobrang ganda.this is my 3rd times to order at di mo ko binibigo.ganda ng mga items nyo.satisfied costumer.lalo na affordable price,5,5,,,False,[],"[{'tag_id': 51, 'tag_description': 'Excellent quality '}]",False,ph,,False,False
